iter	Passed	Remaining
0	177	35371
1	211	20915
2	250	16425
3	285	13978
4	317	12394
5	349	11284
6	382	10546
7	414	9946
8	453	9632
9	487	9264
10	522	8984
11	563	8825
12	595	8560
13	626	8317
14	663	8186
15	695	8000
16	726	7817
17	760	7693
18	792	7548
19	826	7441
20	867	7395
21	904	7318
22	941	7247
23	978	7176
24	1010	7076
25	1042	6979
26	1103	7067
27	1137	6985
28	1176	6935
29	1209	6853
30	1228	6695
31	1260	6616
32	1291	6536
33	1322	6457
34	1370	6458
35	1403	6395
36	1440	6344
37	1474	6285
38	1505	6213
39	1539	6157
40	1572	6096
41	1606	6041
42	1639	5987
43	1673	5933
44	1707	5880
45	1745	5844
46	1784	5809
47	1819	5761
48	1856	5720
49	1892	5676
50	1922	5618
51	1953	5560
52	1988	5514
53	2019	5460
54	2051	5409
55	2087	5367
56	2124	5330
57	2161	5292
58	2206	5272
59	2246	5241
60	2284	5206
61	2322	5169
62	2360	5132
63	2401	5102
64	2437	5061
65	2474	5023
66	2515	4994
67	2571	4991
68	2625	4984
69	2673	4964
70	2720	4942
71	2762	4910
72	2850	4958
73	2900	4938
74	2953	4921
75	3002	4898
76	3051	4874
77	3099	4847
78	3140	4809
79	3174	4762
80	3215	4723
81	3256	4686
82	3290	4638
83	3332	4602
84	3371	4561
85	3410	4520
86	3449	4480
87	3484	4435
88	3520	4390
89	3558	4349
90	3596	4308
91	3634	4266
92	3669	4222
93	3704	4177
94	3740	4134
95	3777	4092
96	3816	4052
97	3854	4012
98	3889	3967
99	3926	3926
100	3961	3883
101	4000	3843
102	4035	3800
103	4069	3756
104	4107	3716
105	4145	3675
106	4180	3633
107	4218	3593
108	4255	3552
109	4290	3510
110	4332	3473
111	4377	3439
112	4423	3405
113	4470	3372
114	4514	3337
115	4557	3300
116	4597	3261
117	4641	3225
118	4684	3188
119	4728	3152
120	4769	3114
121	4815	3078
122	4857	3041
123	4899	3002
124	4931	2958
125	4968	2917
126	5003	2876
127	5039	2834
128	5082	2797
129	5117	2755
130	5154	2715
131	5189	2673
132	5224	2631
133	5266	2593
134	5304	2554
135	5341	2513
136	5382	2475
137	5426	2438
138	5467	2399
139	5501	2357
140	5540	2318
141	5590	2283
142	5646	2250
143	5708	2220
144	5752	2181
145	5794	2143
146	5832	2102
147	5872	2063
148	5911	2023
149	5948	1982
150	5990	1943
151	6025	1902
152	6064	1863
153	6105	1823
154	6139	1782
155	6177	1742
156	6218	1703
157	6259	1663
158	6299	1624
159	6336	1584
160	6373	1543
161	6410	1503
162	6453	1464
163	6495	1425
164	6538	1386
165	6580	1347
166	6618	1307
167	6656	1267
168	6698	1228
169	6739	1189
170	6777	1149
171	6813	1109
172	6850	1069
173	6891	1029
174	6925	989
175	6963	949
176	6999	909
177	7034	869
178	7073	829
179	7110	790
180	7148	750
181	7186	710
182	7224	671
183	7263	631
184	7297	591
185	7333	551
186	7373	512
187	7408	472
188	7444	433
189	7486	394
190	7522	354
191	7591	316
192	7627	276
193	7663	237
194	7700	197
195	7734	157
196	7773	118
197	7811	78
198	7846	39
199	7885	0
